15477.17,9067.96,7930.86,9409.63,8366.25,7383.67,7932.68,7435.19,11665.82
19200.96,17179.00,13138.06,10687.37,11222.36,10348.86,15494.09,18810.19,16967.74
9451.10,8122.57,8394.28,6764.40,7873.07,17448.96,7145.23,8096.38,6954.66
26899.51,19276.51,17903.80,14036.50,15890.71,12936.83,9426.40,17877.76,19740.79
62169.29,26136.28,13957.22,11560.70,15295.55,15672.18,12215.86,17462.89,26693.33
27974.24,9647.61,9586.28,8955.03,15724.82,17129.41,13322.63,10094.26,11943.96
17832.20,15743.18,13744.87,14075.62,14835.63,16091.95,13929.77,16712.64,16284.30
16438.99,12283.98,13056.89,8950.51,6028.08,6564.64,8053.30,8723.81,11071.57
11925.42,11569.73,15240.97,16123.53,16610.82,19564.84,14125.47,12153.86,11442.74
14188.98,7559.77,9650.81,8872.71,11352.12,11795.36,7686.74,8242.08,9422.26
12249.70,11915.23,10573.03,13513.27,27680.63,24937.56,16051.78,18324.82,13579.15
20424.54,10875.42,9839.49,9076.38,11297.32,9847.27,6953.23,9873.66,10673.58
41078.94,11048.83,9536.92,9327.91,20001.94,23099.16,13354.48,11332.10,12633.04
17274.90,16330.63,15957.38,12684.51,14812.14,21951.81,16034.70,16426.16,15964.32
10160.14,7289.78,8325.76,12623.94,18590.18,20459.19,13652.58,11159.38,11022.75
15177.91,10372.01,9006.32,13350.45,15839.94,16978.94,16334.49,15103.91,13703.34
25792.60,21786.77,20123.27,14793.61,16166.64,15128.36,16459.71,17359.09,20575.14
42273.83,22100.23,15280.29,14443.95,14189.30,14258.20,10354.14,12764.53,20063.35
14432.77,15074.42,17235.91,14329.81,21555.25,22226.34,14399.47,16409.51,14941.14
17473.00,5639.44,4475.28,4667.33,6418.72,7005.32,10007.12,4998.93,6486.27
29771.89,18579.71,12169.25,10634.87,11189.22,11022.82,11367.35,18214.42,21274.33
31569.30,20699.68,12688.81,12960.95,12094.72,11195.05,11484.09,16259.19,19789.89
16586.10,10521.09,7980.19,8626.22,9611.99,11217.23,13836.67,12869.90,11454.32
18808.21,9005.34,7675.45,11197.94,17503.87,18209.17,12876.28,12642.89,14624.99
15714.64,10289.02,7503.94,7655.93,9250.47,10693.51,7313.66,7559.25,11415.80
44565.63,13419.56,12268.33,13379.47,8217.55,9861.99,9908.54,13640.33,11062.91
16393.71,9745.57,11446.05,10225.13,25158.66,28558.21,8893.51,7261.94,8570.50
41034.77,17852.13,12175.21,11258.73,9319.72,10500.84,12018.69,13535.30,24567.53
18103.71,16247.66,15555.24,10092.64,21795.26,23466.38,12574.51,15210.50,17777.53
54519.74,16239.36,13319.27,10202.77,7995.12,7238.49,7809.99,10718.73,18127.52
18607.59,12336.84,11774.71,12502.64,26687.31,30091.47,11816.31,10099.91,14400.35
17179.70,12449.11,12887.06,7778.96,10663.64,12852.46,7591.21,10840.51,16022.84
23102.84,18040.87,13446.92,10407.31,24002.78,23795.73,10325.79,12752.33,20300.43
